VUOSI,KK,VUOSI.DEC,Saaresmaki,Paltaniemi,Kaarakkala,Saviaho
1970,4,1970.3333333333,35.5,44.5,34.9,39
1970,3,1970.25,24,23.6,71.4,68.6
1970,2,1970.1666666667,23.3,19,34.1,42.5
1970,1,1970.0833333333,20.3,24.7,24.3,22.7
1969,12,1970,,25,25.6,25.9
1969,11,1969.9166666667,,64.3,26.2,20.5
1969,10,1969.8333333333,,24.5,106,112.1
1969,9,1969.75,,98.5,24.9,38.5
1969,8,1969.6666666667,,52.9,104.6,102.8
1969,7,1969.5833333333,,32.8,56,74.3
1969,6,1969.5,,27.6,42.4,26.9
1969,5,1969.4166666667,,2.1,15,34.8
1969,4,1969.3333333333,,33.4,18.2,5.9
1969,3,1969.25,,15.6,58,61.9
1969,2,1969.1666666667,,15.5,12.4,12.7
1969,1,1969.0833333333,,15.5,23,24.4
1968,12,1969,,20.6,28.4,27.6
1968,11,1968.9166666667,,35.7,31.9,28.1
1968,10,1968.8333333333,,68.4,62.2,57.5
1968,9,1968.75,,49.6,91.9,90.3
1968,8,1968.6666666667,,59.8,39.4,58
1968,7,1968.5833333333,,21.2,86.5,106.5
1968,6,1968.5,,61.1,33.4,29.6
1968,5,1968.4166666667,,46.9,56,96.7
1968,4,1968.3333333333,,33.3,81.6,60.5
1968,3,1968.25,,46.2,48.1,42.3
1968,2,1968.1666666667,,21.4,59.5,65.4
1968,1,1968.0833333333,,27.8,22.2,23.8
1967,12,1968,,18.5,43.7,31.8
1967,11,1967.9166666667,,31.4,24.2,25
1967,10,1967.8333333333,,75.4,52.3,39.7
1967,9,1967.75,,56,104.9,90.7
1967,8,1967.6666666667,,143.5,72.4,51.1
1967,7,1967.5833333333,,59.3,130.7,115.8
1967,6,1967.5,,62.9,38.6,31.2
1967,5,1967.4166666667,,59.7,63.2,66.6
1967,4,1967.3333333333,,22.2,76.6,77.7
1967,3,1967.25,,50.3,24,23.6
1967,2,1967.1666666667,,28.3,60.1,61.4
1967,1,1967.0833333333,,31.2,40.7,35.1
1966,12,1967,,25.2,31.8,28
1966,11,1966.9166666667,,39.2,40.6,
1966,10,1966.8333333333,,66.7,58.9,
1966,9,1966.75,,60.5,61.1,
1966,8,1966.6666666667,,82.3,58.8,
1966,7,1966.5833333333,,85.2,106.9,
1966,6,1966.5,,40.2,82.2,
1966,5,1966.4166666667,,37,42.1,
1966,4,1966.3333333333,,15.2,29.9,
1966,3,1966.25,,24.3,22.2,
1966,2,1966.1666666667,,24.6,33,
1966,1,1966.0833333333,,14,25,
1965,12,1966,,30,21.8,
1965,11,1965.9166666667,,27.7,49.4,
1965,10,1965.8333333333,,67.8,36.7,
1965,9,1965.75,,98.2,67.7,
1965,8,1965.6666666667,,71.9,70.55,
1965,7,1965.5833333333,,98.4,73.4,
1965,6,1965.5,,59.7,88.6,
1965,5,1965.4166666667,,13.3,65.6,
1965,4,1965.3333333333,,7.9,17.8,
1965,3,1965.25,,28.4,21,
1965,2,1965.1666666667,,16.2,38.3,
1965,1,1965.0833333333,,25,23.3,
1964,12,1965,,40.1,48.2,
1964,11,1964.9166666667,,33.8,66.1,
1964,10,1964.8333333333,,14.2,54.7,
1964,9,1964.75,,97.9,17.8,
1964,8,1964.6666666667,,93.7,92,
1964,7,1964.5833333333,,34.4,86.2,
1964,6,1964.5,,50.5,42.2,
1964,5,1964.4166666667,,49.7,74.4,
1964,4,1964.3333333333,,58.2,71.1,
1964,3,1964.25,,9.4,60.6,
1964,2,1964.1666666667,,23.6,9.5,
1964,1,1964.0833333333,,30.4,28.4,
1963,12,1964,,45.4,32.2,
1963,11,1963.9166666667,,42.4,35.7,
1963,10,1963.8333333333,,43,49,
1963,9,1963.75,,50.5,59.4,
1963,8,1963.6666666667,,85.5,69.6,
1963,7,1963.5833333333,,44.8,108.2,
1963,6,1963.5,,44.8,47.2,
1963,5,1963.4166666667,,30.8,47.4,
1963,4,1963.3333333333,,25.6,44,
1963,3,1963.25,,10.8,25.7,
1963,2,1963.1666666667,,17.3,13.1,
1963,1,1963.0833333333,,23.6,16.3,
1962,12,1963,,28,35.2,
1962,11,1962.9166666667,,40,30.1,
1962,10,1962.8333333333,,28.7,55.6,
1962,9,1962.75,,72.6,38.9,
1962,8,1962.6666666667,,77.6,86.2,
1962,7,1962.5833333333,,71.7,91.1,
1962,6,1962.5,,51.1,92.8,
1962,5,1962.4166666667,,57,89.4,
1962,4,1962.3333333333,,44.2,78.7,
1962,3,1962.25,,15.4,55.2,
1962,2,1962.1666666667,,29.1,18.3,
1962,1,1962.0833333333,,50.1,35.2,
1961,12,1962,,27.6,66,
1961,11,1961.9166666667,,69,40.5,
1961,10,1961.8333333333,,49.9,72.1,
1961,9,1961.75,,28.1,68.4,
1961,8,1961.6666666667,,122.4,21.9,
1961,7,1961.5833333333,,104.1,113.8,
1961,6,1961.5,,99.2,98,
1961,5,1961.4166666667,,54.4,124.5,
1961,4,1961.3333333333,,14.9,67.5,
1961,3,1961.25,,40.9,13.8,
1961,2,1961.1666666667,,29.1,60.3,
1961,1,1961.0833333333,,33.5,35.9,
1960,12,1961,,39.7,48,
1960,11,1960.9166666667,,39,49.3,
1960,10,1960.8333333333,,17.2,62.7,
1960,9,1960.75,,18.2,26.9,
1960,8,1960.6666666667,,81,22.5,
1960,7,1960.5833333333,,56.7,72.3,
1960,6,1960.5,,75.8,103.6,
1960,5,1960.4166666667,,23.2,100.5,
1960,4,1960.3333333333,,22.2,33.1,
1960,3,1960.25,,4.5,27.2,
1960,2,1960.1666666667,,20.5,1.7,
1960,1,1960.0833333333,,40.2,23.6,
1959,12,1960,,21.7,55.9,
1959,11,1959.9166666667,,30.3,32.4,
1959,10,1959.8333333333,,17.5,37.4,
1959,9,1959.75,,24.6,20.8,
1959,8,1959.6666666667,,94.6,50.2,
1959,7,1959.5833333333,,51,109.8,
1959,6,1959.5,,39.9,71.4,
1959,5,1959.4166666667,,31.6,33.5,
1959,4,1959.3333333333,,32.7,33.3,
1959,3,1959.25,,18.4,41.9,
1959,2,1959.1666666667,,14.5,29,
1959,1,1959.0833333333,,28.4,22.3,
